_id,documento,tipo_documento,nombre_responsable,apellido_responsable,edad,celular,correo,profesion,cargo
1,22315023,3,Angie,Tabares,36,+573499165906,angie.tabares@gmail.com,Tester,Colaborador
2,55478865,4,Angela,Espinosa,49,+573983083106,angie@hotmail.com,Tester,Líder
3,69172487,3,Domingo,Balboa,22,+573310705035,domingo@mail.com,Diseñador,Colaborador
4,22880665,1,Jimmy,Casanova,57,+573749919856,jimmy.music@hotmail.com,Analista,Jefe de proyecto
5,21978439,2,Diana,Medina,54,+573902181350,diana@mail.com,Tester,Jefe de proyecto
6,11715568,1,Sofia,Vargas,45,+573589027050,sofy6@gmail.com,Analista,Jefe de proyecto
7,48155411,1,Alan,Brito,60,+573332559306,soyalanbrito@mail.com,Analista,Colaborador
8,26155640,1,Elías,Potosí,52,+573100374479,elias@yahoo.com,Diseñador,Colaborador
9,38349314,1,Casandra,López,32,+573021872181,cas.lop@correo.com,Tester,Colaborador
10,85790821,1,Armando,Casas,39,+573502159799,armando@correo.com,Diseñador,Líder
11,73240465,1,Fabricio,Bueno,53,+573168420744,piensaenmihoy@hotmail.com,Diseñador,Jefe de proyecto
12,90603365,1,Federico,Monterrey,41,+573610903083,fede@itp.com,Tester,Jefe de proyecto
13,96820463,1,Belinda,Aragón,23,+573299834203,persona13@correo.com,Tester,Líder
14,87770048,4,Tomás,Hernandez,26,+573858892207,hernandez@gmail.com,Ingeniero,Líder
15,54767326,3,Arnoldo,Guerra,50,+573258248634,arnoldo@mail.com,Tester,Líder
